heading_font,body_font,mood,best_for,google_fonts_url
Inter,Inter,modern clean universal,"SaaS, dashboards, general web apps",https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700
Space Grotesk,Inter,technical modern,"Developer tools, tech startups",https://fonts.google.com/share?selection.family=Space+Grotesk:wght@400;500;600;700
Playfair Display,Lora,elegant serif,"Luxury, editorial, premium brands",https://fonts.google.com/share?selection.family=Playfair+Display:wght@400;500;600;700|Lora:wght@400;500;600;700
DM Sans,DM Sans,friendly clean,"Startups, consumer apps, SaaS",https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;600;700
Sora,Inter,modern geometric,"AI products, tech startups, SaaS",https://fonts.google.com/share?selection.family=Sora:wght@400;500;600;700
Plus Jakarta Sans,Plus Jakarta Sans,contemporary professional,"Fintech, B2B, enterprise SaaS",https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@400;500;600;700
Outfit,Outfit,versatile modern,"General web, startups, mobile apps",https://fonts.google.com/share?selection.family=Outfit:wght@400;500;600;700
Poppins,Poppins,friendly rounded,"Education, healthcare, consumer apps",https://fonts.google.com/share?selection.family=Poppins:wght@400;500;600;700
Lexend,Lexend,readable accessible,"Accessibility-first, education, healthcare",https://fonts.google.com/share?selection.family=Lexend:wght@400;500;600;700
Manrope,Manrope,modern geometric,"SaaS, dashboards, developer tools",https://fonts.google.com/share?selection.family=Manrope:wght@400;500;600;700
Clash Display,Inter,bold display,"Marketing, landing pages, hero sections",https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700
Satoshi,Inter,minimal clean,"Fintech, minimal SaaS, enterprise",https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700
Cabinet Grotesk,Inter,geometric modern,"Creative agencies, portfolios",https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700
General Sans,Inter,versatile neutral,"General purpose, dashboards, SaaS",https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700
Switzer,Inter,Swiss clean,"Enterprise, corporate, documentation",https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700
Crimson Pro,Lora,classic editorial,"Editorial, publishing, academic",https://fonts.google.com/share?selection.family=Crimson+Pro:wght@400;500;600;700
Libre Baskerville,Source Sans 3,traditional trustworthy,"Legal, finance, academic institutions",https://fonts.google.com/share?selection.family=Libre+Baskerville:wght@400;700|Source+Sans+3:wght@400;500;600;700
Fraunces,Inter,expressive variable,"Creative brands, storytelling, editorial",https://fonts.google.com/share?selection.family=Fraunces:wght@400;500;600;700
Instrument Serif,Inter,modern editorial,"Fashion, beauty, editorial content",https://fonts.google.com/share?selection.family=Instrument+Serif|Inter:wght@400;500;600;700
Bricolage Grotesque,Inter,characterful modern,"Creative agencies, music, youth brands",https://fonts.google.com/share?selection.family=Bricolage+Grotesque:wght@400;500;600;700
Syne,Inter,experimental bold,"Creative portfolios, gaming, music",https://fonts.google.com/share?selection.family=Syne:wght@400;500;600;700;700;800
Urbanist,Inter,geometric clean,"Startups, tech products, SaaS",https://fonts.google.com/share?selection.family=Urbanist:wght@400;500;600;700
Figtree,Inter,friendly geometric,"Consumer apps, education, wellness",https://fonts.google.com/share?selection.family=Figtree:wght@400;500;600;700
Albert Sans,Inter,modern minimal,"Minimal SaaS, documentation, dashboards",https://fonts.google.com/share?selection.family=Albert+Sans:wght@400;500;600;700
