name,primary,secondary,accent,background,text,mood,best_for
Tech Blue,#2563EB,#7C3AED,#F59E0B,#FFFFFF,#1F2937,professional trustworthy,SaaS dashboards developer tools
Startup Gradient,#6366F1,#EC4899,#10B981,#FFFFFF,#111827,energetic modern,tech startups creative agencies
Fintech Trust,#1E40AF,#059669,#D97706,#F8FAFC,#1E293B,stable reliable,banking fintech insurance
Healthcare Calm,#0891B2,#7C3AED,#F59E0B,#F0FDFA,#134E4A,calming trustworthy,medical clinics wellness apps
E-commerce Warm,#DC2626,#F59E0B,#059669,#FFFBEB,#78350F,appetizing inviting,food delivery restaurants retail
Luxury Gold,#1F2937,#B45309,#D4AF37,#FAFAF9,#171717,elegant premium,high-end fashion luxury brands
Dark Mode Pro,#0F172A,#6366F1,#22D3EE,#0F172A,#F1F5F9,technical immersive,coding platforms gaming developer tools
Nature Green,#059669,#0D9488,#F59E0B,#ECFDF5,#064E3B,natural organic,wellness sustainability outdoor brands
Creative Purple,#7C3AED,#EC4899,#F59E0B,#FAFAF9,#581C87,creative expressive,agencies portfolios music
Minimal Gray,#374151,#6B7280,#111827,#FFFFFF,#111827,neutral clean,enterprise apps documentation
Vibrant Coral,#F43F5E,#8B5CF6,#06B6D4,#FFF1F2,#881337,energetic playful,youth brands social apps
Ocean Blue,#0369A1,#0891B2,#F59E0B,#F0F9FF,#0C4A6E,calming professional,travel hospitality education
Sunset Orange,#EA580C,#DC2626,#F59E0B,#FFF7ED,#7C2D12,warm inviting,food beverage lifestyle brands
Midnight Dark,#18181B,#A78BFA,#22D3EE,#18181B,#FAFAFA,premium immersive,luxury dark mode premium apps
Forest Deep,#064E3B,#047857,#34D399,#ECFDF5,#022C22,deep natural,sustainability eco brands outdoor
Rose Pink,#E11D48,#BE185D,#F472B6,#FFF1F2,#881337,romantic feminine,beauty fashion lifestyle brands
Arctic Ice,#E0F2FE,#BAE6FD,#38BDF8,#F0F9FF,#0C4A6E,cool clean,technology science healthcare
Warm Earth,#92400E,#78350F,#D97706,#FFFBEB,#451A03,earthy warm,organic food craft artisan brands
Electric Neon,#22D3EE,#A78BFA,#F43F5E,#09090B,#FAFAFA,energetic futuristic,gaming crypto nightlife tech
Soft Pastel,#C4B5FD,#F9A8D4,#6EE7B7,#FAF5FF,#581C87,gentle playful,children education wellness apps
Monochrome,#171717,#525252,#A3A3A3,#FFFFFF,#171717,sophisticated timeless,fashion editorial architecture
Cyber Dark,#0D0D0D,#00FF88,#FF0080,#0D0D0D,#E0E0E0,techy futuristic,crypto gaming cyberpunk brands
Warm Neutrals,#78716C,#A8A29E,#D6D3D1,#FAFAF9,#292524,calm sophisticated,wellness spa hospitality
Royal Purple,#6D28D9,#7C3AED,#C084FC,#F5F3FF,#3B0764,luxury creative,premium SaaS creative agencies
Deep Teal,#0F766E,#14B8A6,#2DD4BF,#F0FDFA,#134E4A,trustworthy modern,fintech healthcare B2B
Hot Pink,#DB2777,#EC4899,#F472B6,#FDF2F8,#831843,bold playful,youth brands entertainment social
Steel Blue,#475569,#64748B,#94A3B8,#F8FAFC,#1E293B,corporate professional,enterprise B2B consulting
Emerald Dark,#065F46,#059669,#10B981,#ECFDF5,#022C22,rich natural,sustainability luxury eco brands
Lavender Dream,#A78BFA,#C4B5FD,#DDD6FE,#FAF5FF,#4C1D95,dreamy creative,wellness beauty creative brands
Carbon Tech,#262626,#404040,#737373,#171717,#E5E5E5,technical minimal,developer tools dark mode apps
Coral Reef,#FF6B6B,#FFA07A,#FFD93D,#FFF5F5,#6B3A3A,vibrant tropical,travel food lifestyle brands
Sage Green,#86EFAC,#6EE7B7,#34D399,#F0FDF4,#14532D,calm natural,wellness meditation eco brands
Indigo Deep,#4338CA,#6366F1,#818CF8,#EEF2FF,#312E81,depth creative,tech SaaS creative platforms
Amber Warm,#F59E0B,#D97706,#B45309,#FFFBEB,#78350F,warm energy,food hospitality retail brands
Slate Professional,#334155,#475569,#64748B,#F8FAFC,#0F172A,professional reliable,enterprise consulting legal
Mint Fresh,#34D396,#6EE7B7,#A7F3D0,#ECFDF5,#064E3B,fresh clean,health wellness technology brands
Crimson Bold,#DC2626,#B91C1C,#991B1B,#FEF2F2,#7F1D1D,bold powerful,entertainment sports gaming brands
Deep Navy,#1E3A5F,#2563EB,#60A5FA,#EFF6FF,#1E3A5F,trustworthy deep,finance legal enterprise brands
Peach Soft,#FBBF24,#F59E0B,#D97706,#FFFBEB,#92400E,warm friendly,food lifestyle wellness brands
Arctic Blue,#BAE6FD,#7DD3FC,#38BDF8,#F0F9FF,#0C4A6E,cool fresh,technology healthcare education brands
